Title,Authors,Abstract,Link,Star
"Fast, high-fidelity transmon readout with intrinsic Purcell protection via nonperturbative cross-Kerr coupling","Guillaume Beaulieu, Jun-Zhe Chen, Marco Scigliuzzo, Othmane Benhayoune-Khadraoui, Alex A. Chapple, Peter A. Spring, Alexandre Blais, Pasquale Scarlino","Dispersive readout of superconducting qubits relies on a transverse capacitive coupling that hybridizes the qubit with the readout resonator, subjecting the qubit to Purcell decay and measurement-induced state transitions (MIST). Despite the widespread use of Purcell filters to suppress qubit decay and near-quantum-limited amplifiers, dispersive readout often lags behind single- and two-qubit gates in both speed and fidelity. Here, we experimentally demonstrate junction readout, a simple readout architecture that realizes a strong qubit-resonator cross-Kerr interaction without relying on a transverse coupling. This interaction is achieved by coupling a transmon qubit to its readout resonator through both a capacitance and a Josephson junction. By varying the qubit frequency, we show that this hybrid coupling provides intrinsic Purcell protection and enhanced resilience to MIST, enabling readout at high photon numbers. While junction readout is compatible with conventional linear measurement, in this work we exploit the nonlinear coupling to intentionally engineer a large Kerr nonlinearity in the resonator, enabling bifurcation-based readout. Using this approach, we achieve a 99.4% assignment fidelity with a 68 ns integration time and a 98.4% QND fidelity without an external Purcell filter or a near-quantum-limited amplifier. These results establish the junction readout architecture with bifurcation-based readout as a scalable and practical alternative to dispersive readout, enabling fast, high-fidelity qubit measurement with reduced hardware overhead.",https://arxiv.org/abs/2601.04975,
A Traveling-Wave Parametric Amplifier With Integrated Diplexers,"C. Denney, K. Genter, K. Cicak, J. D. Teufel, J. Aumentado, F. Lecocq, M. Malnou","Traveling-Wave Parametric Amplifiers (TWPAs) are ubiquitous in superconducting circuit readout, providing high gain with near-quantum-limited noise performance across a wide bandwidth. Their operation, however, relies on a strong microwave pump tone that is typically delivered using off-chip passive components, such as directional couplers or diplexers. These external elements add loss, increase system complexity, and limit scalability. Here, we present a traveling-wave parametric amplifier that incorporates on-chip input and output diplexers for pump routing. This co-fabricated architecture offers a compact and scalable solution for superconducting-circuit readout.",https://arxiv.org/abs/2603.12327,
Beta Tantalum Transmon Qubits with Quality Factors Approaching 10 Million,"Atharv Joshi, Apoorv Jindal, Paal H. Prestegaard, Faranak Bahrami, Elizabeth Hedrick, Matthew P. Bland, Tunmay Gerg, Guangming Cheng, Nan Yao, Robert J. Cava, Andrew A. Houck, Nathalie P. de Leon","Tantalum-based transmon qubits are a promising platform for building large-scale quantum processors. So far, these qubits have been made from tantalum films grown exclusively in the alpha phase (alpha-Ta). The beta phase of tantalum (beta-Ta) readily nucleates at room temperature, making it attractive for scalable qubit fabrication. However, beta-Ta is widely believed to be detrimental to qubit performance because it has a lower superconducting critical temperature than alpha-Ta. We challenge this prevailing belief by fabricating low-loss transmon qubits from beta-Ta films on sapphire. Across 11 qubits, the mean time-averaged quality factor is (5.6 +/- 2.3) x 10^6, with the best qubit recording a time-averaged quality factor of (10.1 +/- 1.3) x 10^6. Resonator studies demonstrate that the dominant microwave loss channel is surface two-level systems, with the surface loss contribution for beta-Ta being about twice that of alpha-Ta. beta-Ta films exhibit significant kinetic inductance, consistent with an estimated magnetic penetration depth of (1.78 +/- 0.02) micrometers. This work establishes beta-Ta on sapphire as a material platform for realizing low-loss transmon qubits and other superconducting devices such as compact resonators, kinetic inductance detectors, and quasiparticle traps.",https://arxiv.org/abs/2603.13174,
Reducing TLS loss in tantalum CPW resonators using titanium sacrificial layers,"Zachary Degnan, Chun-Ching Chiu, Yi-Hsun Chen, David Sommers, Leonid Abdurakhimov, Lihuang Zhu, Arkady Fedorov, Peter Jacobson","We demonstrate a substantial reduction in two-level system loss in tantalum coplanar waveguide resonators fabricated on high-resistivity silicon substrates through the use of an ultrathin titanium sacrificial layer. A 0.2nm titanium film, deposited atop pre-sputtered alpha-tantalum, acts as a solid-state oxygen getter that chemically modifies the native Ta oxide at the metal-air interface. After device fabrication, the titanium layer is removed using buffered oxide etchant, leaving behind a chemically reduced Ta oxide surface. Subsequent high-vacuum annealing further suppresses two-level system loss. Resonators treated with this process exhibit internal quality factors Qi exceeding an average of 1.5 million in the single-photon regime across ten devices, over three times higher than otherwise identical devices lacking the titanium layer. These results highlight the critical role of interfacial oxide chemistry in superconducting loss and reinforce atomic-scale surface engineering as an effective approach to improving coherence in tantalum-based quantum circuits. The method is compatible with existing fabrication workflows applicable to tantalum films, offering a practical route to further extending T1 lifetimes in superconducting qubits.",https://arxiv.org/abs/2601.16369,
Real-time detection of correlated quasiparticle tunneling events in a multi-qubit superconducting device,"Simon Sundelin, Linus Andersson, Hampus Brunander, Simone Gasparinetti","Quasiparticle tunneling events are a source of decoherence and correlated errors in superconducting circuits. Understanding and ultimately mitigating these errors calls for real-time detection of quasiparticle tunneling events on individual devices. In this work, we simultaneously detect quasiparticle tunneling events in two co-housed, charge-sensitive transmons coupled to a common waveguide. We measure background quasiparticle tunneling rates at the single-hertz level, with temporal resolution of tens of microseconds. Using time-tagged coincidence analysis, we show that individual events are uncorrelated across devices, whereas burst episodes occur about once per minute and are largely correlated. These bursts have a characteristic lifetime of 7 ms and induce a thousand-fold increase in the quasiparticle tunneling rate across both devices. In addition, we identify a rarer subset of bursts which are accompanied by a shift in the offset charge, at approximately one event per hour. Our results establish a practical and extensible method to identify quasiparticle bursts in superconducting circuits, as well as their correlations and spatial structure, advancing routes to suppress correlated errors in superconducting quantum processors.",https://arxiv.org/abs/2602.01945,
Surface code logical operations on a superconducting quantum processor,"Weiping Lin, Shaojun Guo, Yuwei Ma, Zhengzhong Yi, Kai Zhang, Jiahao Bei, Jianbin Cai, Sirui Cao, et al. (USTC / Zuchongzhi team), Qiang Zhang, Chao-Yang Lu, Jianxin Chen, Cheng-Zhi Peng, Fusheng Chen, XiaoBo Zhu, Jian-Wei Pan","Fault-tolerant quantum computation requires logical operations that manipulate encoded information while preserving quantum error-correction protection. In planar surface-code architectures, code deformation and lattice surgery provide a local, measurement-based route to such operations. Here we experimentally realize key elements of patch-based surface-code logical processing on a 107-qubit superconducting quantum processor. We first implement a reusable primitive layer comprising merge and split, patch expansion and shrinkage, and deformations mediated by domain walls and twist defects. We then compose these primitives to realize logical state routing, the logical controlled-NOT gate, and the single-qubit Hadamard and phase gates, which together form a Clifford-generating set. All operations are implemented on distance-three rotated surface-code patches with multi-round syndrome extraction and neural-network decoding, without post-selection. Our results advance superconducting surface-code experiments from protected logical memory to active, patch-based fault-tolerant logical operations.",https://arxiv.org/abs/2607.01473,
Separate Control of Transient Leakage Exposure and Endpoint Leakage in Fast Transmon Gates,"Haoran Yang, Fudong Liu, Weilong Wang, Yangyang Fei, Zheng Shan","Leakage to noncomputational states limits the speed of single-qubit gates in weakly anharmonic transmons. Conventional pulse-shaping methods, including derivative removal by adiabatic gate (DRAG), primarily suppress the leakage remaining at the end of a gate. Here we demonstrate that endpoint leakage and the transient leakage population that accumulates during the gate represent distinct control objectives. Endpoint leakage is associated with the drive spectrum at the anharmonicity, whereas transient exposure depends on spectral weight over a finite frequency band and governs the additional leakage induced by dephasing. A spectral null at the leakage transition therefore suppresses the endpoint amplitude without necessarily reducing transient exposure. Based on this distinction, we introduce a path-endpoint separation pulse that combines transient-path shaping with a two-tone endpoint correction. For a 10 ns RX(pi/2) gate with an anharmonicity magnitude of 0.2 GHz, numerical simulations show a 21% reduction in transient exposure relative to cosine DRAG and a corresponding 20% reduction in dephasing-induced excess leakage. The two correction tones further suppress residual leakage through the |2> and |3> channels, lowering the coherent endpoint leakage from approximately 7x10^-7 to 3x10^-8 without increasing transient exposure. These results establish transient exposure and endpoint leakage as complementary targets for the design of fast transmon gates.",https://arxiv.org/abs/2607.05779,
Quantum error correction of a grid-state qubit with state preparation and measurement errors below 10^-3,"Sara Turcotte, Lucas St-Jean, Amelie L. Pessonneaux, Ross Shillito, Bohdan Kulchytskyy, Eliott Ouellet, Jean Olivier Simoneau, Florian Hopfmueller, Matthew Hamer, Pascal Lemieux, Dany Lachance-Quirion, Baptiste Royer, Nicholas E. Frattini","Grid state qubits offer a hardware-efficient approach to large-scale fault-tolerant quantum computing. They access the information redundancy required for quantum error correction by exploiting the large Hilbert space naturally available in harmonic oscillators. Superconducting architectures are particularly suitable to implement grid state qubits due to their fast and high-fidelity operations. Grid states in superconducting circuits enable quantum error correction (QEC) with performance beyond break-even. However, the state preparation and measurements (SPAM) errors of grid states has been a significant limitation to computational performances. In this work, we leverage high-performance QEC to enable repeat-until-success state preparation of both cardinal and magic states of the single-mode grid-state qubit. We combine this with an improved measurement protocol that corrects for both finite-energy envelope and auxiliary qubit readout errors, and increases robustness to photon loss. Our experiments, using both techniques, achieve a combined state-preparation and measurement error below 10^-3. This represents two orders-of-magnitude improvement over the state of the art, bringing this platform on par with standard SPAM error levels measured in transmon qubits.",https://arxiv.org/abs/2607.06718,
Learning ground state observables from quantum computing experiments,"Ben Jaderberg, Freya Shah, Minjun Jeon, M. Emre Sahin, Christa Zoufal, Kunal Sharma","Recent theoretical progress has established conditions under which machine learning models can efficiently predict ground-state properties of gapped local Hamiltonians when trained on quantum-generated data. Previous experimental demonstrations in this paradigm, however, have largely been limited to small systems or highly structured states, due to the difficulty of preparing many-body ground states on quantum processors. In this work, we demonstrate learning from experimental quantum data generated from approximate ground states of the two-dimensional Heisenberg XXZ model with system sizes up to 115 qubits. We construct a dataset of single-site expectation values, two-point correlations, and 12-body loop correlations across the antiferromagnetic phase. We then train neural networks on this data and show that they can accurately predict spatially resolved observables for previously unseen Hamiltonian parameters, both within the training distribution and in an out-of-distribution regime approaching the phase boundary. Our results demonstrate the practical realization of learning from quantum data for an interacting two-dimensional many-body system at scale, motivating a path toward regimes where quantum processors could provide training data beyond the reach of classical approximation methods.",https://arxiv.org/abs/2606.15983,
Readout-Induced Leakage in Superconducting Circuits with Nonlinear Couplings,"Sumeru Hazra, Wei Dai, Daniel K. Weiss, Pranav D. Parakh, Luigi Frunzio, Michel H. Devoret","In superconducting circuits, drive-induced unwanted transitions limit the readout power, thereby constraining readout speed and fidelity. When such transitions excite the qubit into leakage states, they produce correlated errors that are particularly harmful for quantum error correction. Native nonlinear qubit-readout resonator coupling is a promising alternative to conventional linear hybridization because it provides intrinsic Purcell protection and stricter selection rules for multiphoton processes. In realistic devices, however, we show that such a coupling alone neither eliminates nor necessarily suppresses drive-induced transitions. Instead, if not appropriately engineered, these couplings often worsen the situation by introducing additional parasitic processes. Moreover, the rates of these unwanted transitions remain sensitive to the choice of readout frequency, regardless of the coupling mechanism. We demonstrate that readout-induced leakage can thus vary by orders of magnitude even when readout frequencies differ by less than ~7%. Our results establish that the benefits of native nonlinear couplings are realized only through informed device design, including the spectral placement of relevant auxiliary modes and elimination of parasitic ones.",https://arxiv.org/abs/2606.16055,
Experimental Characterization and Modeling of Measurement-Induced State-Transitions in a Fluxonium Superconducting Qubit,"Martijn F. S. Zwanenburg, Jinlun Hu, Eugene Y. Huang, Figen Yilmaz, Siddharth Singh, Christian Kraglund Andersen","Superconducting qubits are most often measured using dispersive readout, which, ideally, implements a projective quantum non-demolition (QND) measurement. While a larger readout drive can increase the signal and, thus, reduce discrimination errors in the readout, strong microwave drives may also cause non-QND errors by driving the qubit to a state outside the computational subspace. In this work, we experimentally characterize measurement-induced state transitions (MIST) in a fluxonium qubit over its full external flux range. We further numerically calculate the MIST errors, and find that the theory accurately predicts eleven experimentally identified regions with increased MIST. In addition to transitions to higher fluxonium levels, we also find that, at certain flux points, MIST errors are dominated by transitions that include the transmission-line-like array modes of the fluxonium's superinductor. The excellent match between theory and experiment validates that the models accurately predict the occurrence of MIST in these systems, and further highlights the influence of array modes in fluxonium readout.",https://arxiv.org/abs/2606.17866,
Noise cross-correlations from single-shot measurements,"Juan S. Rojas-Arias, Peter Stano, Yi-Hsien Wu, Leon C. Camenzind, Seigo Tarucha, Daniel Loss","We introduce a novel method that we call Single-Shot Cross-Spectroscopy (SSCS), for extracting the auto- and cross-power spectral densities of dephasing noise of a qubit pair. The method uses straightforward input, namely single-shot readouts from single-qubit Ramsey-type experiments, and is resilient against errors in state preparation and measurement. We apply it to experimental data from a semiconductor spin-qubit device and obtain noise spectra over five orders of magnitude in frequency (5 mHz-500 Hz). Compared to other techniques, SSCS enables access to noise correlations in the previously inaccessible intermediate-frequency range (1-500 Hz) for spin qubits, and can be further extended with faster readout. More broadly, the frequency range accessible with SSCS is limited only by the experiment repetition rate, and scales accordingly on other platforms.",https://arxiv.org/abs/2509.22073,
Tantalum as a base material for superconducting integrated circuits,"Evgeniy V. Zikiy, Nikita S. Smirnov, Stanislav A. Kotenkov, Ilya A. Stepanov, Julia A. Agafonova, Daria A. Moskaleva, Aleksei R. Matanin, Anton I. Ivanov, Dmitry O. Moskalev, Julia A. Kurochkina, Aleksander V. Andriyash, Ilya A. Rodionov","The performance of superconducting integrated circuits for quantum applications is fundamentally limited by material-related losses. Tantalum, as an emerging material for next-generation quantum circuits, has attracted considerable attention in recent years after demonstrating breakthrough performance in both superconducting microwave resonators and qubits. Concurrently, a growing body of work is devoted to the operation of tantalum-based circuits and related fabrication techniques. This interest is further stimulated by tantalum thin films polymorphism resulting in a variety of its crystalline structure, superconducting properties, coherence, etc. Furthermore, tantalum circuits exhibit distinctive features in cryogenic experiments, which have not been observed in aluminum- or niobium-based ones. In this review, we summarize the recent research of tantalum thin films growth and phase selection mechanisms on various substrates, key aspects of fabrication and performance of superconducting circuit, including a material first-principles theoretical study. In conclusion, we address a number of open issues, including the role of beta-phase impurities, the effect of hydrofluoric acid solutions on chain characteristics, and the anomalous behavior of alpha-tantalum chains at cryogenic temperatures.",https://arxiv.org/abs/2606.13750,
Driven-dissipative entanglement of distant giant atoms,"Aziza Almanakly, Ariadna Soro, Alejandro Vivas-Viana, Beatriz Yankelevich, Caspar Groiseau, David Pahl, Junyoung An, Gabriel Cutter, Michael E. Gingras, Bethany M. Niedzielski, Hannah Stickler, Renee DePencier Pinero, Mollie E. Schwartz, Kyle Serniak, Max Hays, Jeffrey A. Grover, Anton Frisk Kockum, William D. Oliver","Quantum interconnects distribute entanglement via controlled light-matter interactions for quantum computing and sensing applications. Many entanglement generation schemes use coherent, reversible interactions that require precisely calibrated pulses to execute. In contrast, driven-dissipative protocols use a continuous-wave drive in the presence of correlated dissipation to stabilize entanglement in protected (dark) states. However, the same dissipation that generates the entanglement also limits its utility once the stabilization protocol ends. Here, we engineer a superconducting system of two giant artificial atoms coupled sequentially to a waveguide, with tunable individual and correlated dissipation enabled by interference between coupling points. Continuously driving the atoms through the waveguide exploits correlated dissipation to generate remote entanglement. We then tune the qubit frequencies in situ to suppress individual dissipation and thereby preserve the entanglement, achieving a Bell-state fidelity F = 0.89 +/- 0.02. This demonstration indicates that the driven dissipation of giant atoms is a viable approach for distributing entanglement across quantum networks.",https://arxiv.org/abs/2606.13375,
Measurement-induced state transitions in multi-qubit transmon processors,"Baptiste Hoyau, Alexander McDonald, Boris M. Varbanov, Manuel H. Munoz-Arias, Alexandre Blais","Dispersive readout of the transmon qubit in circuit QED is known to lose its quantum non-demolition character at small to moderate measurement drive amplitudes. This phenomenon is understood to originate from Landau-Zener transitions at accidental multi-photon resonances, where n drive photons can promote the transmon by m levels. This interpretation has been shown to be in agreement with experiments characterizing the dispersive readout of a single transmon. The impact of these measurement-induced state transition (MIST) of a transmon embedded in a multi-qubit chip, however, remains largely unexplored. Here, we show that the presence of other components, such as qubits and couplers, can affect the MIST threshold of a measured transmon. To arrive at these results, we present a general method to characterize measurement-induced transition when the qubit under readout is coupled to other circuit elements, a ubiquitous situation in circuit QED-based quantum processors. As an example, we consider the case of two transmon qubits, and we show that the spectator qubit can be impacted by the measurement-induced transition of the readout qubit and, conversely, that the presence of the spectator qubit can lower the MIST threshold of the readout qubit. Finally, we explore how adding a coupler mode between the two qubits further modifies these effects.",https://arxiv.org/abs/2606.05010,
